,NSW1-HYDRO,NSW1-SOLAR,NSW1-WIND,QLD1-HYDRO,QLD1-SOLAR,QLD1-WIND,SA1-SOLAR,SA1-WIND,TAS1-HYDRO,TAS1-WIND,VIC1-HYDRO,VIC1-SOLAR,VIC1-WIND,NSW1-ROOFTOP-SOLAR,QLD1-ROOFTOP-SOLAR,SA1-ROOFTOP-SOLAR,TAS1-ROOFTOP-SOLAR,VIC1-ROOFTOP-SOLAR
2024-01-01 00:00:00,0.14747056952530227,8.693181818181817e-07,0.5692730820647657,0.4268005952380952,0.00020197903574919706,0.35807783079927463,0.0,0.40358686489480233,0.23865107406403938,0.0,0.16072139504504504,0.0,0.2621835187095359,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:30:00,0.1083973538161346,8.693181818181817e-07,0.5727043229468958,0.4272619047619048,0.0001795442714394327,0.37633116464935096,0.0,0.4120730726355683,0.23300828071633797,0.0,0.13801666722222222,0.0,0.2637705371454045,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.10378288998357965,8.693181818181817e-07,0.5561404554511845,0.42538690476190477,0.00016918231857747986,0.3607688363310894,0.0,0.38033146220213015,0.23320389911300649,0.0,0.18218897877240145,0.0,0.27144791097745424,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:30:00,0.1036161986863711,8.693181818181817e-07,0.5452217396851434,0.42373015873015873,0.00016918231857747986,0.47903579524467477,0.0,0.34335564400645613,0.2332965173378155,0.0011364039039039038,0.20295797532706095,0.0,0.278249571291791,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.1033465106732348,8.693181818181817e-07,0.5395196394704485,0.42796626984126984,0.00016918231857747986,0.4347363762572639,0.0,0.31094239754588376,0.23404408568013405,0.03987278528528529,0.1333556454390681,0.0,0.27968946992037474,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:30:00,0.10354999178981938,8.693181818181817e-07,0.5132370384221118,0.42520089285714285,0.00016918231857747986,0.36286241158885707,0.0,0.30603018645063157,0.2251628814127253,0.08691100395850397,0.031716980286738354,0.0,0.2609195191025022,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.10372589490968802,8.693181818181817e-07,0.5030455607150267,0.42723710317460317,0.00016918231857747986,0.3360659881727097,0.0,0.2980386320969752,0.22422943176691995,0.09519247372372372,0.008159722361111111,0.0,0.2581468425426538,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:30:00,0.10356371100164205,8.693181818181817e-07,0.4945114339860565,0.4271701388888889,0.00016918231857747986,0.36279801850315657,0.0,0.3051034649456944,0.22779162516135032,0.06948812312312312,0.009195833333333332,0.0,0.25077752035282924,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.10326841543513958,8.693181818181817e-07,0.49168418585509266,0.4259002976190476,0.00016918231857747986,0.40739734404336186,0.0,0.3137095521527419,0.22941000957910346,0.06795763513513514,0.009434722361111111,0.0,0.22600367645599032,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:30:00,0.10361586206896552,8.693181818181817e-07,0.4814915708688267,0.42624007936507935,0.00016918231857747986,0.4430524881577875,0.0,0.317783754252395,0.23973209372190354,0.04950476351351352,0.005025,0.0,0.1962288130067249,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.1035267159277504,0.0025419342502506254,0.4786118224277791,0.4276190476190476,0.000824437365461421,0.453464330057156,0.0,0.311444309964878,0.2653797937110257,0.02269149399399399,0.0027930555555555556,0.00193531122282938,0.18488772724102445,0.0002063900094131,7.710552379628503e-05,0.0,0.0040205662858682,0.0
2024-01-01 05:30:00,0.10357940886699507,0.05622840533980233,0.45582386935222446,0.4262524801587302,0.010876622350986624,0.42764296697698456,0.0026977927422371867,0.3079700159462279,0.26604653997996464,0.029681775525525526,0.0016374999999999998,0.03774635826522862,0.18632600257701612,0.0100011793714823,0.0067042709944223,0.0,0.0297918020059258,0.008137415903818
2024-01-01 06:00:00,0.10391749589490969,0.20739132166188057,0.4474192181279615,0.42645337301587305,0.05565396167449285,0.36002361124022214,0.050847396248196244,0.31294302167430654,0.26539041224913096,0.03202103603603604,0.0,0.18866302318772196,0.17031643478514524,0.0421115699982455,0.0292544873242862,0.0067103488904195,0.087347297704118,0.0409935288168764
2024-01-01 06:30:00,0.10415492610837437,0.3517452364381959,0.4239143413971921,0.2869469246031746,0.12359041171826547,0.31042682039227,0.18982735264817485,0.26715763479036586,0.26662098805959666,0.006913532282282283,0.0,0.40186016673445735,0.1421054943156886,0.0897106754231359,0.0567894128685861,0.038659669451024,0.147723131525993,0.1009860954429925
2024-01-01 07:00:00,0.10440891625615764,0.47026068604913024,0.3850169440979633,0.42553819444444446,0.22936791129701864,0.2440472480156364,0.35462061964619745,0.20521919376546185,0.2654273154694742,0.0,0.0,0.4685086084767035,0.10587798696305266,0.1371880216625789,0.0909371687720456,0.0958294028346253,0.236496442888153,0.1843157448355243
2024-01-01 07:30:00,0.10408871100164203,0.5306981250648228,0.3326426325750353,0.4258457341269841,0.30930206025097867,0.23068309554449726,0.40261068444230663,0.15092650272496155,0.26944907922359895,0.0,4.1666666666666665e-05,0.3922451828013953,0.07405518026766017,0.1912596561040118,0.143544421469653,0.1787026093208893,0.3353231505395085,0.2759195252682864
