day,avg_temperature_deg_c,avg_barometric_pressure_hpa,avg_wind_speed_ms
2018-01-01,20.69160839160839,1009.8202797202796,2.993706293706294
2018-01-02,20.334027777777777,1012.4527777777779,3.685416666666667
2018-01-03,20.51736111111111,1015.2562499999999,3.2430555555555554
2018-01-04,25.524305555555557,1013.9104166666667,2.3444444444444446
2018-01-05,29.90625,1010.4499999999999,1.9465277777777779
2018-01-06,31.97847222222222,1007.529861111111,3.752083333333333
2018-01-07,24.210416666666667,1011.3326388888888,3.6479166666666663
2018-01-08,21.84027777777778,1012.8118055555556,3.808333333333333
2018-01-09,21.509027777777778,1015.9770833333334,3.6965277777777774
2018-01-10,23.3125,1012.6645833333334,1.7041666666666666
2018-01-11,29.44722222222222,1006.5645833333333,1.9430555555555555
2018-01-12,23.992361111111112,1007.1194444444445,2.160416666666667
2018-01-13,20.299305555555556,1012.3000000000001,3.6645833333333337
2018-01-14,20.93263888888889,1017.6916666666667,3.4993055555555554
2018-01-15,24.293750000000003,1017.6465277777778,3.8666666666666663
2018-01-16,26.811111111111114,1015.0201388888888,3.2819444444444446
2018-01-17,32.21944444444445,1011.4118055555555,2.095833333333333
2018-01-18,36.006249999999994,1009.1986111111112,2.6875
2018-01-19,37.099999999999994,1007.626388888889,2.9944444444444445
2018-01-20,29.84861111111111,1008.3986111111111,2.9430555555555555
2018-01-21,32.06736111111111,1005.9534722222221,3.067361111111111
2018-01-22,25.591666666666665,1008.0812500000001,3.894444444444444
2018-01-23,23.861805555555556,1008.7930555555556,3.627083333333333
2018-01-24,24.165277777777778,1006.6881944444444,3.4361111111111113
2018-01-25,27.418750000000003,1005.4375,3.439583333333333
2018-01-26,27.66111111111111,1006.2972222222221,2.526388888888889
2018-01-27,32.78263888888889,1003.7048611111111,1.8055555555555556
2018-01-28,36.89791666666667,1001.6326388888889,3.870833333333333
2018-01-29,23.299999999999997,1007.1986111111112,3.6027777777777774
2018-01-30,19.835416666666667,1011.4993055555556,5.165277777777778
2018-01-31,19.168055555555554,1013.4833333333333,4.5569444444444445
2018-02-01,20.475,1012.6569444444444,3.5888888888888886
2018-02-02,24.225,1012.78125,3.2333333333333334
2018-02-03,26.01388888888889,1015.1979166666666,3.3666666666666667
2018-02-04,28.784027777777776,1016.4541666666667,2.3118055555555554
2018-02-05,30.23263888888889,1014.7965277777779,2.558333333333333
2018-02-06,30.970138888888886,1012.5784722222221,2.3423611111111113
2018-02-07,33.32222222222222,1010.6277777777777,2.161111111111111
2018-02-08,32.625,1010.0486111111111,2.3916666666666666
2018-02-09,31.65555555555555,1009.1305555555555,1.7715277777777778
2018-02-10,26.5625,1007.4173611111112,2.2965277777777775
2018-02-11,22.175694444444446,1010.1055555555556,3.7159722222222222
2018-02-12,19.991666666666667,1011.8215277777776,2.89375
2018-02-13,23.786805555555556,1009.5687499999999,1.7618055555555554
2018-02-14,23.084027777777777,1013.5076388888889,2.6868055555555554
2018-02-15,20.62986111111111,1015.4534722222221,2.6840277777777777
2018-02-16,21.047916666666666,1014.0381944444445,2.879861111111111
2018-02-17,24.622916666666665,1010.4236111111111,2.4118055555555555
2018-02-18,23.9125,1009.3395833333333,3.2125000000000004
2018-02-19,24.65972222222222,1010.1395833333333,3.595833333333333
2018-02-20,27.286805555555556,1008.7736111111111,2.8111111111111113
2018-02-21,26.748611111111114,1008.6645833333334,2.822222222222222
2018-02-22,32.56736111111111,1003.9451388888889,2.647222222222222
2018-02-23,29.943749999999998,1002.4833333333333,5.094444444444445
2018-02-24,22.385416666666668,1008.8625000000001,3.454861111111111
2018-02-25,21.335416666666667,1012.3937500000001,3.2868055555555555
2018-02-26,20.679166666666667,1012.7354166666667,2.2562499999999996
2018-02-27,28.040277777777778,1008.8368055555555,2.961111111111111
2018-02-28,21.864583333333332,1014.2527777777777,3.8486111111111114
2018-03-01,22.00486111111111,1014.1173611111111,2.507638888888889
2018-03-02,23.37777777777778,1009.7013888888889,1.56875
