,NSW1,QLD1,SA1,TAS1,VIC1
2024-01-02 13:00:00,6643.74,6565.84,486.08,937.42,4590.02
2024-01-02 13:30:00,6832.32,6548.77,519.22,936.26,5069.2
2024-01-02 14:00:00,6932.99,6488.91,535.62,955.53,5267.29
2024-01-02 14:30:00,7231.26,6606.08,621.29,971.77,5372.53
2024-01-02 15:00:00,7578.11,6600.71,718.03,983.42,5324.27
2024-01-02 15:30:00,7898.64,6661.26,843.96,1015.8,5313.81
2024-01-02 16:00:00,8080.12,6895.51,987.61,1057.81,5315.41
2024-01-02 16:30:00,8533.5,7174.74,1149.28,1118.45,5285.0
2024-01-02 17:00:00,8772.18,7359.79,1358.52,1178.03,5157.69
2024-01-02 17:30:00,8725.47,7520.29,1456.64,1197.4,5043.48
2024-01-02 18:00:00,8675.17,7663.94,1591.12,1192.64,4936.07
2024-01-02 18:30:00,8649.97,7774.81,1679.48,1188.11,4836.4
2024-01-02 19:00:00,8600.77,7867.48,1719.01,1192.39,4725.61
2024-01-02 19:30:00,8562.17,7770.82,1717.17,1182.75,4617.96
2024-01-02 20:00:00,8467.06,7661.37,1678.4,1165.12,4599.82
2024-01-02 20:30:00,8251.05,7474.04,1643.06,1165.19,4485.41
2024-01-02 21:00:00,8098.83,7230.2,1611.87,1148.81,4349.34
2024-01-02 21:30:00,8095.71,7100.59,1556.94,1125.26,4247.24
2024-01-02 22:00:00,7884.16,6827.22,1500.3,1110.52,4135.22
2024-01-02 22:30:00,7698.37,6615.73,1450.86,1087.96,4091.85
2024-01-02 23:00:00,7481.62,6454.9,1407.26,1054.38,4172.73
2024-01-02 23:30:00,7335.85,6317.42,1435.04,1064.18,4202.22
2024-01-03 00:00:00,7181.33,6148.87,1459.7,1062.48,4053.89
2024-01-03 00:30:00,6956.03,5988.74,1439.99,1051.59,3985.41
2024-01-03 01:00:00,6747.26,5901.7,1401.6,1039.24,3890.64
2024-01-03 01:30:00,6583.31,5843.72,1359.78,1028.38,3775.39
2024-01-03 02:00:00,6439.08,5772.46,1319.16,1020.8,3699.21
2024-01-03 02:30:00,6419.3,5735.28,1276.85,1028.94,3670.06
2024-01-03 03:00:00,6365.19,5731.14,1252.33,1039.58,3680.27
2024-01-03 03:30:00,6306.94,5708.5,1249.42,1046.48,3698.53
2024-01-03 04:00:00,6384.77,5702.96,1250.51,1057.0,3777.12
2024-01-03 04:30:00,6493.42,5753.14,1269.07,1060.63,3868.08
2024-01-03 05:00:00,6645.1,5810.02,1272.74,1080.14,3979.48
2024-01-03 05:30:00,6718.81,5781.94,1278.97,1102.35,4088.85
2024-01-03 06:00:00,6750.22,5727.08,1290.82,1115.74,4202.37
2024-01-03 06:30:00,6766.48,5664.12,1283.85,1129.91,4295.19
2024-01-03 07:00:00,6822.37,5559.7,1278.01,1093.93,4353.65
2024-01-03 07:30:00,6699.37,5411.44,1320.41,1090.78,4423.91
2024-01-03 08:00:00,6617.5,5328.98,1323.17,1074.36,4450.83
2024-01-03 08:30:00,6384.55,5328.65,1328.91,1077.43,4306.5
2024-01-03 09:00:00,6246.65,5322.24,1335.56,1086.7,4309.58
2024-01-03 09:30:00,6204.77,5348.08,1253.46,1057.09,4443.96
2024-01-03 10:00:00,6193.77,5398.61,1265.5,1044.74,4471.05
2024-01-03 10:30:00,6187.73,5510.85,1263.64,1023.35,4370.07
2024-01-03 11:00:00,6285.3,5534.51,1034.67,1028.71,4304.1
2024-01-03 11:30:00,6426.17,5775.87,1038.35,1024.68,4332.82
2024-01-03 12:00:00,6518.22,6121.07,991.36,1044.94,4025.68
2024-01-03 12:30:00,6757.11,6151.91,1125.87,1047.23,3907.17
2024-01-03 13:00:00,7010.97,6139.21,1092.0,1072.4,3868.25
2024-01-03 13:30:00,7927.34,6078.24,1082.36,1077.25,3729.87
2024-01-03 14:00:00,8412.82,6284.12,1154.11,1074.98,3803.3
2024-01-03 14:30:00,8676.76,6612.27,1094.61,1072.47,3988.64
2024-01-03 15:00:00,8913.49,6960.69,1119.11,1065.2,4277.26
2024-01-03 15:30:00,8849.5,7255.51,1237.89,1093.67,4662.84
2024-01-03 16:00:00,8917.94,7529.43,1322.21,1135.55,5270.15
2024-01-03 16:30:00,9076.33,7857.68,1315.21,1150.01,5464.75
2024-01-03 17:00:00,9077.09,8204.23,1393.87,1134.46,5343.48
2024-01-03 17:30:00,9084.28,8459.45,1471.46,1143.0,5387.48
