,QLD1,NSW1,VIC1,SA1,TAS1
2024-01-12 03:00,5970.43,7113.82,4229.58,1361.35,1097.63
2024-01-12 06:00,6401.21,7932.33,4472.21,1334.89,1099.94
2024-01-12 09:00,6291.74,7757.33,3964.96,1025.09,1051.38
2024-01-12 12:00,6049.21,7962.28,5211.93,1147.42,1074.71
2024-01-12 15:00,7585.97,9558.15,6759.86,1688.67,1180.31
2024-01-12 18:00,8137.04,9680.16,6778.36,2198.73,1235.84
2024-01-12 21:00,7129.03,8440.88,5350.28,1738.64,1103.17
2024-01-13 00:00,6188.01,7020.69,4360.6,1519.02,1014.92
2024-01-13 03:00,5991.22,6653.63,3998.91,1377.2,1008.89
2024-01-13 06:00,5762.99,6620.42,3984.15,1210.02,1008.91
2024-01-13 09:00,5472.87,6423.6,3684.6,880.73,953.55
2024-01-13 12:00,5511.96,7461.21,3908.52,937.77,927.63
2024-01-13 15:00,7314.32,9494.67,3924.48,1424.89,1020.42
2024-01-13 18:00,8141.87,9606.45,4396.89,1696.79,1076.92
2024-01-13 21:00,7046.9,8238.93,4034.1,1548.67,1043.74
2024-01-14 00:00,6091.3,6736.97,3570.17,1417.22,990.74
2024-01-14 03:00,5815.67,6349.67,3391.98,1261.4,1005.51
2024-01-14 06:00,5189.73,6359.93,3089.29,1056.32,1043.81
2024-01-14 09:00,4852.16,6463.17,2130.39,397.64,985.9
2024-01-14 12:00,5674.28,6739.53,2275.67,349.68,909.74
2024-01-14 15:00,7730.19,7904.01,3748.92,818.58,1078.46
2024-01-14 18:00,8475.23,8326.85,4537.69,1593.65,1206.6
2024-01-14 21:00,7220.15,7426.21,4106.3,1504.37,1141.24
2024-01-15 00:00,6199.58,6511.52,3720.65,1405.63,1069.55
2024-01-15 03:00,6116.62,6568.6,3912.4,1301.93,1092.18
2024-01-15 06:00,6604.49,7824.33,4399.8,1270.88,1125.31
2024-01-15 09:00,6733.96,7722.27,3667.13,797.83,981.33
2024-01-15 12:00,7267.23,7358.82,4209.35,952.63,972.85
2024-01-15 15:00,8224.76,8010.2,5622.54,1711.87,1061.04
2024-01-15 18:00,8318.71,8018.41,6082.99,2224.5,1126.29
2024-01-15 21:00,7077.14,7352.86,4912.91,1799.83,1016.05
2024-01-16 00:00,6017.43,6458.46,4163.93,1570.19,958.72
2024-01-16 03:00,5976.67,6542.86,4203.83,1480.66,988.78
2024-01-16 06:00,6461.15,7452.72,4582.08,1523.02,1081.64
2024-01-16 09:00,6678.76,7339.6,3850.88,1260.55,993.46
2024-01-16 12:00,6996.28,7581.3,4669.46,1226.14,982.32
2024-01-16 15:00,7861.06,8341.77,6649.23,1683.04,1075.64
2024-01-16 18:00,8230.09,8459.64,6839.19,2026.23,1087.36
2024-01-16 21:00,7139.86,7635.19,5416.68,1542.81,961.41
2024-01-17 00:00,6152.18,6596.55,4464.74,1370.56,948.43
2024-01-17 03:00,6069.3,6684.54,4548.81,1259.16,1022.51
2024-01-17 06:00,6538.13,7584.09,5583.48,1247.1,1165.09
2024-01-17 09:00,6611.4,7420.72,5319.21,757.21,1141.66
2024-01-17 12:00,6896.3,8788.66,3907.83,276.25,1080.09
2024-01-17 15:00,8548.24,9441.8,4020.34,567.21,993.17
2024-01-17 18:00,9031.69,8933.29,4763.8,1308.56,982.6
2024-01-17 21:00,7646.0,7866.02,4243.22,1272.94,897.09
2024-01-18 00:00,6492.94,6695.28,3756.33,1232.29,834.55
2024-01-18 03:00,6381.21,6763.11,3838.86,1177.04,880.57
2024-01-18 06:00,6958.08,7617.8,4085.02,1182.62,960.88
2024-01-18 09:00,7290.07,7422.5,3368.42,539.64,944.05
2024-01-18 12:00,7862.41,7731.88,3345.53,145.72,959.8
2024-01-18 15:00,9533.38,9333.22,3845.75,553.42,1011.51
2024-01-18 18:00,9252.04,9769.44,4620.24,1351.43,1043.29
2024-01-18 21:00,7593.91,8053.45,4276.42,1325.96,920.37
2024-01-19 00:00,6417.17,6613.96,3886.41,1252.86,772.69
2024-01-19 03:00,6274.72,6494.14,4128.56,1139.37,827.14
2024-01-19 06:00,6686.07,6571.51,4581.51,1077.64,923.34
2024-01-19 09:00,6779.62,5603.53,4031.1,379.26,871.81
2024-01-19 12:00,7765.14,6067.22,3743.51,319.81,867.29
2024-01-19 15:00,9566.3,8113.95,4134.6,881.4,966.74
2024-01-19 18:00,9662.23,8781.79,4985.52,1586.62,1043.63
2024-01-19 21:00,8156.51,7850.87,4460.73,1437.39,1034.43
2024-01-20 00:00,6814.54,6716.11,3960.01,1337.56,990.4
2024-01-20 03:00,6469.08,6437.22,3774.06,1250.12,1003.71
2024-01-20 06:00,6423.94,6538.36,3774.2,1124.55,1083.87
2024-01-20 09:00,6607.89,6448.56,3203.95,719.07,1051.59
2024-01-20 12:00,7095.27,6477.47,3473.87,768.8,975.77
